#ID 	 MEAS 	 k 	 weight
    0*	I I I I I I I I I	    0	1.0000
    1*	I I I I I Z I I Z	   65	-0.3333
    2*	I I I I Z I I Z I	  260	-0.3333
    3*	I I I I Z Z I Z Z	  325	1.0000
    4*	I I I Z I I Z I I	 1040	-0.3333
    5*	I I I Z I Z Z I Z	 1105	1.0000
    6*	I I I Z Z I Z Z I	 1300	1.0000
    7*	I I I Z Z Z Z Z Z	 1365	-0.3333
    8*	I I Z I I I I I Z	 4097	-0.3333
    9*	I I Z I I Z I I I	 4160	-0.3333
   10*	I I Z I Z I I Z Z	 4357	-0.3333
   11*	I I Z I Z Z I Z I	 4420	-0.3333
   12*	I I Z Z I I Z I Z	 5137	-0.3333
   13*	I I Z Z I Z Z I I	 5200	-0.3333
   14*	I I Z Z Z I Z Z Z	 5397	-0.3333
   15*	I I Z Z Z Z Z Z I	 5460	-0.3333
   16*	I Z I I I I I Z I	16388	-0.3333
   17*	I Z I I I Z I Z Z	16453	-0.3333
   18*	I Z I I Z I I I I	16640	-0.3333
   19*	I Z I I Z Z I I Z	16705	-0.3333
   20*	I Z I Z I I Z Z I	17428	-0.3333
   21*	I Z I Z I Z Z Z Z	17493	-0.3333
   22*	I Z I Z Z I Z I I	17680	-0.3333
   23*	I Z I Z Z Z Z I Z	17745	-0.3333
   24*	I Z Z I I I I Z Z	20485	1.0000
   25*	I Z Z I I Z I Z I	20548	-0.3333
   26*	I Z Z I Z I I I Z	20737	-0.3333
   27*	I Z Z I Z Z I I I	20800	1.0000
   28*	I Z Z Z I I Z Z Z	21525	-0.3333
   29*	I Z Z Z I Z Z Z I	21588	1.0000
   30*	I Z Z Z Z I Z I Z	21777	1.0000
   31*	I Z Z Z Z Z Z I I	21840	-0.3333
   32*	Z I I I I I Z I I	65552	-0.3333
   33*	Z I I I I Z Z I Z	65617	-0.3333
   34*	Z I I I Z I Z Z I	65812	-0.3333
   35*	Z I I I Z Z Z Z Z	65877	-0.3333
   36*	Z I I Z I I I I I	66560	-0.3333
   37*	Z I I Z I Z I I Z	66625	-0.3333
   38*	Z I I Z Z I I Z I	66820	-0.3333
   39*	Z I I Z Z Z I Z Z	66885	-0.3333
   40*	Z I Z I I I Z I Z	69649	1.0000
   41*	Z I Z I I Z Z I I	69712	-0.3333
   42*	Z I Z I Z I Z Z Z	69909	-0.3333
   43*	Z I Z I Z Z Z Z I	69972	1.0000
   44*	Z I Z Z I I I I Z	70657	-0.3333
   45*	Z I Z Z I Z I I I	70720	1.0000
   46*	Z I Z Z Z I I Z Z	70917	1.0000
   47*	Z I Z Z Z Z I Z I	70980	-0.3333
   48*	Z Z I I I I Z Z I	81940	1.0000
   49*	Z Z I I I Z Z Z Z	82005	-0.3333
   50*	Z Z I I Z I Z I I	82192	-0.3333
   51*	Z Z I I Z Z Z I Z	82257	1.0000
   52*	Z Z I Z I I I Z I	82948	-0.3333
   53*	Z Z I Z I Z I Z Z	83013	1.0000
   54*	Z Z I Z Z I I I I	83200	1.0000
   55*	Z Z I Z Z Z I I Z	83265	-0.3333
   56*	Z Z Z I I I Z Z Z	86037	-0.3333
   57*	Z Z Z I I Z Z Z I	86100	-0.3333
   58*	Z Z Z I Z I Z I Z	86289	-0.3333
   59*	Z Z Z I Z Z Z I I	86352	-0.3333
   60*	Z Z Z Z I I I Z Z	87045	-0.3333
   61*	Z Z Z Z I Z I Z I	87108	-0.3333
   62*	Z Z Z Z Z I I I Z	87297	-0.3333
   63*	Z Z Z Z Z Z I I I	87360	-0.3333
   64 	X X X X X X X X X	174762	-0.3333
   65 	X X X X X Y X X Y	174827	0.3333
   66 	X X X X Y X X Y X	175022	0.3333
   67 	X X X X Y Y X Y Y	175087	-0.3333
   68 	X X X Y X X Y X X	175802	0.3333
   69 	X X X Y X Y Y X Y	175867	-0.3333
   70 	X X X Y Y X Y Y X	176062	-0.3333
   71 	X X X Y Y Y Y Y Y	176127	0.3333
   72 	X X Y X X X X X Y	178859	0.3333
   73 	X X Y X X Y X X X	178922	0.3333
   74 	X X Y X Y X X Y Y	179119	-0.3333
   75 	X X Y X Y Y X Y X	179182	-0.3333
   76 	X X Y Y X X Y X Y	179899	-0.3333
   77 	X X Y Y X Y Y X X	179962	-0.3333
   78 	X X Y Y Y X Y Y Y	180159	0.3333
   79 	X X Y Y Y Y Y Y X	180222	0.3333
   80 	X Y X X X X X Y X	191150	0.3333
   81 	X Y X X X Y X Y Y	191215	-0.3333
   82 	X Y X X Y X X X X	191402	0.3333
